Order ID,Date,Product Category,Product,Region,Quantity,SalesAmount,Cost,Profit,ProfitMargin
ORD-66222,2024-04-02,Clothing,Jackets,Latin America,1,32.01,11.79,20.22,0.6317
ORD-84592,2024-04-03,Electronics,Smartphones,Latin America,5,5411.57,3995.52,1416.05,0.2617
ORD-94502,2024-04-03,Clothing,Jackets,Latin America,2,217.65,77.93,139.72,0.642
ORD-60651,2024-04-03,Accessories,Headphones,North America,2,349.1,158.36,190.74,0.5464
ORD-12281,2024-04-03,Clothing,Jackets,North America,2,68.5,27.49,41.01,0.5987
ORD-70355,2024-04-03,Clothing,T-Shirts,Latin America,2,129.56,56.17,73.4,0.5665
ORD-90537,2024-04-03,Clothing,Sneakers,Asia Pacific,10,1347.78,595.78,752.0,0.558
ORD-53892,2024-04-03,Home Goods,Lamps,North America,8,5485.93,2911.39,2574.54,0.4693
ORD-58392,2024-04-03,Home Goods,Desks,Asia Pacific,6,4053.63,2399.85,1653.78,0.408
ORD-86729,2024-04-03,Home Goods,Lamps,North America,6,2975.29,2058.6,916.69,0.3081
ORD-16242,2024-04-03,Electronics,Smartphones,Asia Pacific,7,11733.63,8285.53,3448.1,0.2939
ORD-56267,2024-04-03,Clothing,Jeans,Middle East & Africa,10,1291.17,387.91,903.27,0.6996
ORD-76498,2024-04-03,Accessories,Headphones,Asia Pacific,7,1652.97,975.15,677.81,0.4101
ORD-96705,2024-04-03,Electronics,Laptops,Asia Pacific,8,12331.45,9807.28,2524.17,0.2047
ORD-63339,2024-04-04,Accessories,Headphones,Middle East & Africa,9,2382.24,959.35,1422.89,0.5973
ORD-60839,2024-04-04,Clothing,T-Shirts,Asia Pacific,8,1061.95,374.19,687.75,0.6476
ORD-91399,2024-04-04,Clothing,Jackets,Asia Pacific,3,85.26,34.2,51.06,0.5989
ORD-50207,2024-04-04,Accessories,Smartwatches,Asia Pacific,2,405.88,231.16,174.72,0.4305
ORD-39073,2024-04-04,Home Goods,Desks,Middle East & Africa,10,4347.1,2857.67,1489.43,0.3426
ORD-74786,2024-04-04,Clothing,Jackets,Middle East & Africa,4,242.17,86.68,155.49,0.6421
ORD-44808,2024-04-04,Electronics,Tablets,Asia Pacific,5,9298.64,6446.51,2852.14,0.3067
ORD-14160,2024-04-04,Clothing,Jackets,Europe,2,133.58,46.89,86.69,0.649
ORD-33605,2024-04-04,Electronics,Tablets,Europe,5,8895.68,5604.28,3291.4,0.37
ORD-35783,2024-04-04,Home Goods,Sofas,Middle East & Africa,6,556.85,329.39,227.46,0.4085
ORD-80860,2024-04-04,Electronics,Tablets,Asia Pacific,9,16889.92,12778.3,4111.62,0.2434
ORD-38699,2024-04-05,Home Goods,Desks,Latin America,1,148.95,78.68,70.27,0.4718
ORD-55746,2024-04-05,Clothing,Jackets,Latin America,8,994.4,313.58,680.82,0.6847
ORD-32016,2024-04-05,Electronics,Laptops,Europe,1,847.02,574.28,272.75,0.322
ORD-20385,2024-04-05,Electronics,Laptops,North America,6,4050.4,3076.95,973.44,0.2403
ORD-24228,2024-04-05,Clothing,Jeans,North America,10,1364.48,619.13,745.35,0.5463
ORD-29168,2024-04-05,Home Goods,Sofas,Europe,9,5576.39,3372.7,2203.69,0.3952
ORD-60338,2024-04-05,Accessories,Headphones,Latin America,3,203.15,106.64,96.52,0.4751
ORD-76822,2024-04-05,Home Goods,Sofas,Asia Pacific,10,2536.03,1281.94,1254.09,0.4945
ORD-15400,2024-04-05,Clothing,Sneakers,Middle East & Africa,3,170.95,77.62,93.33,0.546
ORD-19527,2024-04-05,Home Goods,Desks,Middle East & Africa,6,4451.81,2840.48,1611.32,0.3619
ORD-92125,2024-04-06,Accessories,Chargers,North America,5,1267.06,612.5,654.56,0.5166
ORD-30589,2024-04-06,Clothing,T-Shirts,Asia Pacific,6,733.04,286.97,446.07,0.6085
ORD-60919,2024-04-06,Electronics,Laptops,Middle East & Africa,8,8989.19,6698.1,2291.08,0.2549
ORD-55326,2024-04-06,Accessories,Smartwatches,Asia Pacific,3,502.67,299.12,203.55,0.4049
ORD-40906,2024-04-06,Home Goods,Lamps,North America,9,824.38,492.3,332.08,0.4028
ORD-74170,2024-04-06,Electronics,Tablets,Asia Pacific,9,16050.32,12483.58,3566.74,0.2222
ORD-48464,2024-04-06,Clothing,T-Shirts,Latin America,6,494.47,244.5,249.96,0.5055
ORD-78863,2024-04-06,Clothing,T-Shirts,North America,7,703.57,312.11,391.47,0.5564
ORD-64022,2024-04-06,Clothing,Sneakers,Middle East & Africa,8,1025.13,362.56,662.57,0.6463
ORD-99888,2024-04-06,Accessories,Smartwatches,Europe,1,38.69,15.9,22.79,0.589
ORD-51639,2024-04-06,Accessories,Chargers,North America,3,613.27,255.17,358.1,0.5839
ORD-44415,2024-04-06,Electronics,Monitors,North America,2,1582.48,1160.66,421.82,0.2666
ORD-74009,2024-04-06,Electronics,Tablets,Europe,9,4135.41,2554.43,1580.98,0.3823
ORD-20758,2024-04-06,Electronics,Tablets,Asia Pacific,5,9974.33,7395.69,2578.65,0.2585
ORD-96668,2024-04-07,Clothing,Sneakers,North America,10,1306.48,614.53,691.95,0.5296
ORD-79855,2024-04-07,Accessories,Chargers,Europe,6,248.35,141.19,107.16,0.4315
ORD-35124,2024-04-07,Accessories,Headphones,Middle East & Africa,6,1636.33,655.36,980.96,0.5995
ORD-11920,2024-04-07,Electronics,Smartphones,Middle East & Africa,6,7346.99,5003.45,2343.55,0.319
ORD-64083,2024-04-07,Electronics,Smartphones,Asia Pacific,3,5421.56,3279.2,2142.36,0.3952
ORD-68738,2024-04-07,Electronics,Smartphones,Europe,1,414.9,254.52,160.38,0.3866
ORD-99029,2024-04-07,Accessories,Chargers,Middle East & Africa,4,1162.87,630.72,532.15,0.4576
ORD-63113,2024-04-07,Clothing,Jackets,Europe,2,153.03,64.08,88.95,0.5812
ORD-83976,2024-04-07,Clothing,Sneakers,Europe,8,914.9,336.33,578.58,0.6324
ORD-88576,2024-04-07,Home Goods,Desks,North America,10,3254.08,2129.01,1125.07,0.3457
ORD-75003,2024-04-07,Electronics,Tablets,Asia Pacific,1,891.95,602.98,288.97,0.324
ORD-47776,2024-04-07,Home Goods,Chairs,Latin America,10,4325.02,2991.11,1333.91,0.3084
ORD-12109,2024-04-08,Electronics,Smartphones,Latin America,1,1630.67,1187.88,442.79,0.2715
ORD-95769,2024-04-08,Home Goods,Sofas,North America,7,4521.18,2605.03,1916.15,0.4238
ORD-60803,2024-04-08,Electronics,Tablets,Asia Pacific,10,17537.26,13364.64,4172.62,0.2379
ORD-36982,2024-04-08,Electronics,Tablets,North America,10,9760.14,7789.99,1970.15,0.2019
ORD-40991,2024-04-08,Clothing,Jeans,North America,7,879.85,383.42,496.43,0.5642
ORD-35821,2024-04-08,Clothing,Jeans,North America,8,298.29,112.86,185.43,0.6216
ORD-17493,2024-04-08,Accessories,Backpacks,Middle East & Africa,8,2047.52,951.75,1095.78,0.5352
ORD-87213,2024-04-08,Accessories,Chargers,North America,2,322.76,165.93,156.82,0.4859
ORD-66729,2024-04-08,Clothing,Jeans,North America,3,115.33,36.46,78.87,0.6838
ORD-34308,2024-04-08,Accessories,Smartwatches,Europe,9,1931.53,780.47,1151.05,0.5959
ORD-49293,2024-04-08,Electronics,Laptops,Asia Pacific,5,8997.94,6204.12,2793.82,0.3105
ORD-74461,2024-04-08,Electronics,Laptops,Asia Pacific,10,9663.35,6558.94,3104.41,0.3213
ORD-47010,2024-04-08,Accessories,Headphones,Europe,3,452.94,224.2,228.74,0.505
ORD-38346,2024-04-08,Electronics,Monitors,North America,8,4301.97,2949.89,1352.08,0.3143
ORD-32868,2024-04-08,Electronics,Monitors,North America,1,1815.87,1415.56,400.31,0.2205
ORD-14225,2024-04-08,Clothing,Jeans,Europe,8,807.18,348.01,459.17,0.5689
ORD-17375,2024-04-08,Accessories,Backpacks,Latin America,6,519.23,248.2,271.04,0.522
ORD-71877,2024-04-08,Accessories,Headphones,Asia Pacific,4,202.98,114.64,88.34,0.4352
ORD-26162,2024-04-09,Clothing,T-Shirts,Asia Pacific,7,808.07,343.96,464.1,0.5743
ORD-73090,2024-04-09,Accessories,Smartwatches,Europe,7,2055.0,929.86,1125.14,0.5475
ORD-80373,2024-04-09,Electronics,Tablets,Middle East & Africa,7,8029.61,6078.41,1951.2,0.243
ORD-13457,2024-04-09,Home Goods,Lamps,Asia Pacific,7,4155.99,2479.33,1676.66,0.4034
ORD-19058,2024-04-09,Electronics,Monitors,Europe,6,5443.57,3559.01,1884.57,0.3462
ORD-61313,2024-04-09,Home Goods,Sofas,Middle East & Africa,8,6310.85,4181.77,2129.07,0.3374
ORD-16885,2024-04-09,Accessories,Headphones,Europe,10,1428.69,815.18,613.5,0.4294
ORD-14480,2024-04-09,Clothing,Jeans,Middle East & Africa,10,306.06,99.75,206.31,0.6741
ORD-50742,2024-04-09,Home Goods,Lamps,Latin America,7,2922.75,1627.76,1294.99,0.4431
ORD-56445,2024-04-09,Clothing,Sneakers,Latin America,8,731.45,300.39,431.06,0.5893
ORD-54942,2024-04-10,Home Goods,Chairs,Europe,2,375.95,221.06,154.89,0.412
ORD-68126,2024-04-10,Electronics,Monitors,Asia Pacific,7,2494.98,1800.74,694.24,0.2783
ORD-19368,2024-04-10,Home Goods,Desks,Asia Pacific,6,4542.06,2551.45,1990.6,0.4383
ORD-35523,2024-04-10,Home Goods,Chairs,Asia Pacific,7,4372.29,2554.28,1818.01,0.4158
ORD-45874,2024-04-10,Accessories,Headphones,Latin America,3,553.9,250.02,303.89,0.5486
ORD-45465,2024-04-10,Accessories,Headphones,Middle East & Africa,10,2286.65,1327.91,958.74,0.4193
ORD-86785,2024-04-10,Electronics,Smartphones,Europe,9,12627.27,10050.15,2577.12,0.2041
ORD-95070,2024-04-10,Accessories,Headphones,Europe,6,1778.03,956.47,821.56,0.4621
ORD-33106,2024-04-10,Clothing,Jackets,Europe,10,1309.31,563.51,745.8,0.5696
ORD-95888,2024-04-10,Electronics,Laptops,Middle East & Africa,1,1366.0,1015.16,350.85,0.2568
ORD-64263,2024-04-10,Clothing,Jackets,North America,6,839.4,277.35,562.05,0.6696
ORD-81112,2024-04-11,Accessories,Headphones,Middle East & Africa,6,907.85,399.14,508.71,0.5603
ORD-31220,2024-04-11,Electronics,Monitors,Asia Pacific,9,4818.96,3577.84,1241.13,0.2576
ORD-21489,2024-04-11,Home Goods,Chairs,Latin America,1,674.09,436.92,237.17,0.3518
ORD-70135,2024-04-11,Accessories,Smartwatches,Europe,7,1691.17,806.08,885.09,0.5234
ORD-38182,2024-04-11,Electronics,Tablets,North America,9,12354.09,9486.11,2867.99,0.2321
ORD-30700,2024-04-11,Clothing,Jackets,North America,3,403.46,127.24,276.22,0.6846
ORD-42456,2024-04-11,Electronics,Monitors,Europe,2,1267.62,903.66,363.96,0.2871
ORD-86877,2024-04-11,Home Goods,Lamps,Europe,9,2373.73,1399.84,973.89,0.4103
ORD-89199,2024-04-11,Home Goods,Sofas,Latin America,9,3595.4,2058.54,1536.86,0.4275
ORD-90761,2024-04-11,Accessories,Chargers,Europe,7,723.43,339.8,383.63,0.5303
ORD-54465,2024-04-11,Clothing,Jackets,North America,5,286.77,137.62,149.15,0.5201
ORD-81079,2024-04-12,Accessories,Backpacks,Europe,8,1452.43,828.45,623.99,0.4296
ORD-57126,2024-04-12,Home Goods,Sofas,Europe,7,4393.09,2280.66,2112.44,0.4809
ORD-97177,2024-04-12,Electronics,Tablets,Latin America,2,2043.51,1352.84,690.67,0.338
ORD-84551,2024-04-12,Electronics,Monitors,Europe,6,4973.56,3376.73,1596.82,0.3211
ORD-51412,2024-04-12,Home Goods,Desks,North America,7,3905.7,2662.69,1243.02,0.3183
ORD-24518,2024-04-12,Home Goods,Lamps,Asia Pacific,5,2176.52,1505.74,670.78,0.3082
ORD-37205,2024-04-12,Accessories,Smartwatches,Asia Pacific,9,706.27,296.8,409.47,0.5798
ORD-83475,2024-04-12,Clothing,Sneakers,Asia Pacific,7,543.09,173.48,369.61,0.6806
ORD-62692,2024-04-12,Home Goods,Lamps,Latin America,2,458.87,314.77,144.1,0.314
ORD-23416,2024-04-12,Electronics,Tablets,Europe,4,5276.86,3773.28,1503.58,0.2849
ORD-57907,2024-04-12,Electronics,Monitors,Asia Pacific,8,8342.13,5131.01,3211.12,0.3849
ORD-96506,2024-04-13,Accessories,Smartwatches,Europe,5,812.77,480.36,332.41,0.409
ORD-25239,2024-04-13,Accessories,Backpacks,North America,9,577.48,268.22,309.25,0.5355
ORD-63124,2024-04-13,Electronics,Tablets,Europe,5,3633.79,2504.97,1128.82,0.3106
ORD-53001,2024-04-13,Electronics,Laptops,Latin America,7,3220.32,2265.9,954.42,0.2964
ORD-94668,2024-04-13,Electronics,Laptops,Europe,6,6329.69,4229.86,2099.83,0.3317
ORD-56105,2024-04-13,Home Goods,Chairs,Latin America,6,4432.08,2370.38,2061.7,0.4652
ORD-41095,2024-04-13,Clothing,Sneakers,Latin America,6,851.32,291.36,559.96,0.6578
ORD-42907,2024-04-13,Electronics,Laptops,Europe,7,3319.85,2251.26,1068.59,0.3219
ORD-93991,2024-04-13,Electronics,Smartphones,Middle East & Africa,8,9015.52,5728.23,3287.29,0.3646
ORD-58486,2024-04-13,Accessories,Backpacks,Asia Pacific,1,71.44,40.36,31.08,0.4351
ORD-65898,2024-04-13,Accessories,Chargers,Europe,3,506.85,269.4,237.45,0.4685
ORD-88297,2024-04-13,Accessories,Headphones,Europe,2,464.15,274.2,189.95,0.4092
ORD-31691,2024-04-14,Accessories,Chargers,North America,8,191.4,114.58,76.82,0.4013
ORD-49843,2024-04-14,Home Goods,Lamps,North America,7,2229.27,1321.91,907.36,0.407
ORD-24374,2024-04-14,Clothing,T-Shirts,North America,9,355.59,137.54,218.05,0.6132
ORD-87670,2024-04-14,Home Goods,Chairs,Latin America,1,331.16,196.57,134.58,0.4064
ORD-80607,2024-04-14,Home Goods,Desks,Asia Pacific,7,2993.86,1745.93,1247.93,0.4168
ORD-85458,2024-04-14,Clothing,Jeans,Middle East & Africa,5,145.74,54.93,90.81,0.6231
ORD-39408,2024-04-14,Home Goods,Sofas,Asia Pacific,1,506.6,281.31,225.3,0.4447
ORD-11355,2024-04-14,Home Goods,Desks,Europe,10,3636.87,2374.56,1262.31,0.3471
ORD-61048,2024-04-14,Clothing,T-Shirts,Middle East & Africa,9,212.33,67.04,145.28,0.6842
ORD-82349,2024-04-14,Clothing,Jackets,Middle East & Africa,4,261.52,101.04,160.48,0.6136
ORD-16925,2024-04-14,Electronics,Tablets,North America,3,5883.46,3585.05,2298.4,0.3907
ORD-86994,2024-04-14,Clothing,Sneakers,Europe,10,926.86,449.77,477.09,0.5147
ORD-24192,2024-04-14,Electronics,Tablets,Middle East & Africa,6,9133.81,6780.71,2353.1,0.2576
ORD-92319,2024-04-14,Clothing,Jackets,Middle East & Africa,10,650.87,322.58,328.29,0.5044
ORD-93301,2024-04-15,Clothing,Jackets,Asia Pacific,8,888.74,274.44,614.3,0.6912
ORD-62700,2024-04-15,Accessories,Backpacks,Middle East & Africa,1,177.13,78.98,98.15,0.5541
ORD-50374,2024-04-15,Accessories,Smartwatches,Latin America,1,269.2,132.15,137.05,0.5091
ORD-33745,2024-04-15,Clothing,Jeans,Middle East & Africa,1,56.91,18.63,38.28,0.6726
ORD-80497,2024-04-15,Electronics,Tablets,Europe,8,8575.56,5578.27,2997.29,0.3495
ORD-58231,2024-04-15,Home Goods,Lamps,Middle East & Africa,8,630.99,415.69,215.3,0.3412
ORD-46312,2024-04-15,Clothing,Sneakers,Europe,8,596.85,228.62,368.23,0.617
ORD-20147,2024-04-15,Electronics,Tablets,North America,5,5117.95,3195.29,1922.67,0.3757
ORD-66339,2024-04-15,Clothing,Jeans,Europe,8,557.97,196.79,361.18,0.6473
ORD-99817,2024-04-15,Home Goods,Desks,Latin America,6,1017.37,660.49,356.88,0.3508
ORD-74550,2024-04-15,Home Goods,Chairs,Asia Pacific,7,1406.09,957.58,448.52,0.319
ORD-59309,2024-04-15,Accessories,Backpacks,North America,7,1645.16,804.76,840.4,0.5108
ORD-34642,2024-04-15,Home Goods,Desks,North America,10,2436.27,1262.87,1173.4,0.4816
ORD-93327,2024-04-15,Home Goods,Sofas,North America,1,396.98,209.15,187.82,0.4731
ORD-54825,2024-04-16,Home Goods,Sofas,North America,9,4268.45,2706.23,1562.21,0.366
ORD-33307,2024-04-16,Accessories,Headphones,Europe,1,101.08,56.51,44.57,0.4409
ORD-77564,2024-04-16,Home Goods,Desks,Middle East & Africa,9,4723.9,3192.04,1531.85,0.3243
ORD-97890,2024-04-16,Clothing,Jeans,North America,9,853.17,288.0,565.17,0.6624
ORD-93079,2024-04-16,Accessories,Backpacks,Europe,3,299.94,124.65,175.29,0.5844
ORD-48808,2024-04-16,Home Goods,Sofas,North America,6,4060.94,2604.86,1456.09,0.3586
ORD-27811,2024-04-16,Home Goods,Chairs,North America,9,5899.27,3809.83,2089.44,0.3542
ORD-89599,2024-04-16,Electronics,Laptops,Middle East & Africa,4,5698.55,4009.08,1689.47,0.2965
ORD-72919,2024-04-16,Home Goods,Lamps,Europe,10,7143.19,4952.75,2190.43,0.3066
ORD-91425,2024-04-16,Accessories,Chargers,Middle East & Africa,2,213.51,101.31,112.2,0.5255
ORD-91341,2024-04-16,Accessories,Chargers,North America,1,25.71,11.43,14.28,0.5554
ORD-87185,2024-04-16,Home Goods,Chairs,Asia Pacific,10,3866.29,2341.74,1524.55,0.3943
ORD-28419,2024-04-16,Home Goods,Lamps,North America,9,5504.9,3388.75,2116.15,0.3844
ORD-46135,2024-04-17,Home Goods,Sofas,North America,8,3026.75,1852.58,1174.18,0.3879
ORD-51029,2024-04-17,Clothing,T-Shirts,North America,1,110.09,36.49,73.59,0.6685
ORD-46342,2024-04-17,Home Goods,Desks,Asia Pacific,2,587.66,346.96,240.7,0.4096
ORD-77698,2024-04-17,Home Goods,Chairs,Middle East & Africa,1,483.77,252.93,230.84,0.4772
ORD-86635,2024-04-17,Accessories,Smartwatches,Europe,8,2135.68,1110.76,1024.93,0.4799
ORD-85159,2024-04-18,Electronics,Tablets,Asia Pacific,10,16217.65,12480.35,3737.3,0.2304
ORD-22594,2024-04-18,Home Goods,Chairs,Latin America,7,887.23,502.28,384.95,0.4339
ORD-74061,2024-04-18,Accessories,Smartwatches,North America,7,1988.84,1009.69,979.15,0.4923
ORD-93675,2024-04-18,Home Goods,Sofas,Europe,4,1140.43,724.76,415.67,0.3645
ORD-54750,2024-04-18,Home Goods,Desks,Middle East & Africa,1,161.06,100.66,60.4,0.375
ORD-18984,2024-04-18,Accessories,Smartwatches,Asia Pacific,10,965.25,464.33,500.92,0.5189
ORD-43339,2024-04-18,Accessories,Headphones,Europe,4,1065.94,442.74,623.21,0.5847
ORD-64309,2024-04-18,Home Goods,Sofas,Europe,4,2508.56,1627.9,880.66,0.3511
ORD-54163,2024-04-18,Accessories,Headphones,Asia Pacific,10,824.8,396.11,428.69,0.5198
ORD-99960,2024-04-18,Home Goods,Desks,Latin America,4,1213.23,622.48,590.75,0.4869
ORD-23679,2024-04-18,Electronics,Monitors,Europe,6,10000.04,7235.63,2764.41,0.2764
ORD-57299,2024-04-19,Electronics,Laptops,Europe,4,7700.45,6042.24,1658.2,0.2153
ORD-58258,2024-04-19,Accessories,Backpacks,Middle East & Africa,9,2684.48,1215.83,1468.65,0.5471
ORD-13896,2024-04-19,Home Goods,Chairs,North America,3,2036.74,1339.26,697.48,0.3425
ORD-21733,2024-04-19,Electronics,Laptops,Asia Pacific,6,6459.79,4113.87,2345.92,0.3632
ORD-62582,2024-04-19,Accessories,Headphones,Europe,5,834.89,388.93,445.96,0.5342
ORD-67317,2024-04-19,Electronics,Smartphones,North America,4,6494.1,4208.51,2285.59,0.3519
ORD-68250,2024-04-19,Clothing,Sneakers,Europe,4,198.57,76.94,121.63,0.6125
ORD-75019,2024-04-19,Accessories,Backpacks,Europe,4,480.66,214.01,266.65,0.5548
ORD-16313,2024-04-20,Electronics,Monitors,North America,8,14396.03,10351.51,4044.52,0.2809
ORD-51235,2024-04-20,Accessories,Backpacks,Middle East & Africa,10,2141.61,937.26,1204.34,0.5624
ORD-82205,2024-04-20,Accessories,Chargers,Europe,8,1163.97,674.11,489.86,0.4209
ORD-14649,2024-04-20,Electronics,Monitors,North America,4,4505.25,3319.31,1185.93,0.2632
ORD-95946,2024-04-20,Electronics,Monitors,Asia Pacific,8,2882.83,2231.83,651.0,0.2258
ORD-38045,2024-04-20,Clothing,Jeans,Europe,5,634.54,302.71,331.83,0.5229
ORD-92220,2024-04-20,Electronics,Laptops,Latin America,5,2608.85,1857.96,750.89,0.2878
ORD-61796,2024-04-20,Clothing,Jackets,Europe,6,836.92,316.23,520.69,0.6222
ORD-36318,2024-04-20,Clothing,Jackets,Asia Pacific,3,359.83,171.59,188.24,0.5231
ORD-74833,2024-04-20,Clothing,Jackets,North America,10,1060.53,409.81,650.72,0.6136
ORD-80941,2024-04-20,Electronics,Laptops,Middle East & Africa,4,3183.19,2479.17,704.02,0.2212
ORD-34826,2024-04-20,Electronics,Laptops,Middle East & Africa,2,2945.01,2322.76,622.25,0.2113
ORD-82697,2024-04-21,Electronics,Monitors,North America,8,10309.27,7098.54,3210.73,0.3114
ORD-93978,2024-04-21,Clothing,Jeans,Middle East & Africa,8,999.17,384.08,615.09,0.6156
ORD-49695,2024-04-21,Electronics,Monitors,Europe,3,4466.06,2750.84,1715.22,0.3841
ORD-65513,2024-04-21,Accessories,Backpacks,North America,7,775.76,318.63,457.14,0.5893
ORD-46219,2024-04-21,Electronics,Laptops,Middle East & Africa,5,1886.75,1405.89,480.87,0.2549
ORD-74676,2024-04-21,Accessories,Headphones,Asia Pacific,10,656.66,374.47,282.18,0.4297
ORD-35209,2024-04-21,Home Goods,Desks,Latin America,8,2069.4,1349.87,719.54,0.3477
ORD-67922,2024-04-21,Clothing,Sneakers,Middle East & Africa,10,523.48,161.0,362.48,0.6924
ORD-51046,2024-04-21,Electronics,Tablets,Europe,6,5928.45,4680.33,1248.12,0.2105
ORD-81889,2024-04-21,Home Goods,Sofas,Asia Pacific,7,4353.07,2709.67,1643.41,0.3775
ORD-21905,2024-04-21,Electronics,Smartphones,Latin America,10,8561.66,6101.61,2460.05,0.2873
ORD-35563,2024-04-21,Clothing,Jackets,Latin America,7,295.02,103.88,191.14,0.6479
ORD-57270,2024-04-21,Electronics,Smartphones,Middle East & Africa,3,1944.83,1359.73,585.09,0.3008
ORD-26362,2024-04-21,Clothing,T-Shirts,North America,10,856.02,379.61,476.41,0.5565
ORD-45784,2024-04-22,Home Goods,Chairs,Middle East & Africa,9,4258.27,2321.71,1936.56,0.4548
ORD-83741,2024-04-22,Electronics,Monitors,Middle East & Africa,5,4524.72,3202.83,1321.89,0.2921
ORD-65973,2024-04-22,Clothing,Jackets,Asia Pacific,5,551.15,263.83,287.33,0.5213
